기관명,소계,2011년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
강 남 구,"5,221","1,944",195,316,430,546,765,577,448,"2,139","2,455","2,885","3,431","4,196","4,773","5,221"
강 동 구,"1,879",303,387,134,59,144,194,273,385,690,824,883,"1,027","1,221","1,494","1,879"
강 북 구,"1,265",243,88,141,74,145,254,1,319,331,472,546,691,945,946,"1,265"
강 서 구,"1,617",219,155,118,230,187,190,264,254,374,492,722,909,"1,099","1,363","1,617"
관 악 구,"3,985",430,56,419,487,609,619,694,671,486,905,"1,392","2,001","2,620","3,314","3,985"
광 진 구,"1,581",470,42,83,87,64,21,468,346,512,595,682,746,767,"1,235","1,581"
구 로 구,"3,227",852,219,349,187,268,326,540,486,"1,071","1,420","1,607","1,875","2,201","2,741","3,227"
금 천 구,"1,634",27,17,242,101,382,136,199,530,44,286,387,769,905,"1,104","1,634"
노 원 구,"1,906",481,117,203,80,461,298,110,156,598,801,881,"1,342","1,640","1,750","1,906"
도 봉 구,858,197,66,8,185,59,155,117,71,263,271,456,515,670,787,858
동대문구,"2,003",,,,"1,326",111,233,136,197,0,0,"1,326","1,437","1,670","1,806","2,003"
동 작 구,"1,780",238,93,29,503,130,254,278,255,331,360,863,993,"1,247","1,525","1,780"
마 포 구,"1,935",585,108,69,70,177,359,372,195,693,762,832,"1,009","1,368","1,740","1,935"
서대문구,"2,121",565,233,214,114,109,277,415,194,798,"1,012","1,126","1,235","1,512","1,927","2,121"
서 초 구,"2,835","1,172",91,228,134,215,352,247,396,"1,263","1,491","1,625","1,840","2,192","2,439","2,835"
성 동 구,"2,679",665,109,118,101,258,201,933,294,774,892,993,"1,251","1,452","2,385","2,679"
성 북 구,"3,003",779,84,304,241,279,388,285,643,863,"1,167","1,408","1,687","2,075","2,360","3,003"
송 파 구,"1,586",600,99,88,21,166,100,116,396,699,787,808,974,"1,074","1,190","1,586"
양 천 구,"2,775",772,161,185,169,172,349,137,830,933,"1,118","1,287","1,459","1,808","1,945","2,775"
영등포구,"2,495",132,121,206,217,366,289,371,793,253,459,676,"1,042","1,331","1,702","2,495"
용 산 구,"2,063","1,279",152,201,107,102,89,60,73,"1,431","1,632","1,739","1,841","1,930","1,990","2,063"
은 평 구,"2,962","1,365",83,99,343,180,296,229,367,"1,448","1,547","1,890","2,070","2,366","2,595","2,962"
종 로 구,"1,471",8,7,599,132,195,148,281,101,15,614,746,941,"1,089","1,370","1,471"
중     구,"1,544",25,165,114,80,245,270,317,328,190,304,384,629,899,"1,216","1,544"
중 랑 구,"1,068",,,,770,102,121,66,9,0,0,770,872,993,"1,059","1,068"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
