기간,자치구,보훈청,교육청,우체국관서,세무서,국립농산물품질관리원
2015,합계,3,12,432,27,1
2015,종로구,-,2,22,2,-
2015,중구,-,-,16,2,-
2015,용산구,1,-,18,1,-
2015,성동구,-,1,11,1,-
2015,광진구,-,-,14,-,-
2015,동대문구,-,1,15,1,-
2015,중랑구,-,-,10,-,-
2015,성북구,-,-,18,1,-
2015,강북구,-,1,10,1,-
2015,도봉구,1,1,11,1,-
2015,노원구,-,-,24,-,-
2015,은평구,-,-,13,-,-
2015,서대문구,-,1,17,1,-
2015,마포구,-,-,19,1,-
2015,양천구,-,1,14,1,-
2015,강서구,-,-,17,-,-
2015,구로구,-,-,15,-,-
2015,금천구,-,-,8,1,-
2015,영등포구,-,1,23,4,-
2015,동작구,-,1,14,-,-
2015,관악구,-,-,17,1,-
2015,서초구,1,-,27,1,-
2015,강남구,-,1,38,4,-
2015,송파구,-,1,27,2,1
2015,강동구,-,-,14,1,-
2016,합계,3,12,424,27,1
2016,종로구,-,2,22,2,-
2016,중구,-,-,15,2,-
2016,용산구,1,-,18,1,-
2016,성동구,-,1,11,1,-
2016,광진구,-,-,14,-,-
2016,동대문구,-,1,14,1,-
2016,중랑구,-,-,9,-,-
2016,성북구,-,-,18,1,-
2016,강북구,-,1,10,1,-
2016,도봉구,1,1,11,1,-
2016,노원구,-,-,24,-,-
2016,은평구,-,-,13,-,-
2016,서대문구,-,1,16,1,-
2016,마포구,-,-,19,1,-
2016,양천구,-,1,14,1,-
2016,강서구,-,-,17,-,-
2016,구로구,-,-,15,-,-
2016,금천구,-,-,8,1,-
2016,영등포구,-,1,23,4,-
2016,동작구,-,1,13,-,-
2016,관악구,-,-,16,1,-
2016,서초구,1,-,27,1,-
2016,강남구,-,1,37,4,-
2016,송파구,-,1,26,2,1
2016,강동구,-,-,14,1,-
2017,합계,3,12,416,28,1
2017,종로구,-,2,20,2,-
2017,중구,-,-,14,2,-
2017,용산구,1,-,17,1,-
2017,성동구,-,1,11,1,-
2017,광진구,-,-,14,-,-
2017,동대문구,-,1,14,1,-
2017,중랑구,-,-,9,1,-
2017,성북구,-,-,16,1,-
2017,강북구,-,1,10,1,-
2017,도봉구,1,1,11,1,-
2017,노원구,-,-,24,-,-
2017,은평구,-,-,13,-,-
2017,서대문구,-,1,16,1,-
2017,마포구,-,-,19,1,-
2017,양천구,-,1,14,1,-
2017,강서구,-,-,17,-,-
2017,구로구,-,-,16,-,-
2017,금천구,-,-,8,1,-
2017,영등포구,-,1,23,4,-
2017,동작구,-,1,13,-,-
2017,관악구,-,-,16,1,-
2017,서초구,1,-,25,1,-
2017,강남구,-,1,37,4,-
2017,송파구,-,1,26,2,1
2017,강동구,-,-,13,1,-
2018,합계,3,12,413,29,1
2018,종로구,-,2,20,2,-
2018,중구,-,-,14,2,-
2018,용산구,1,-,16,1,-
2018,성동구,-,1,11,1,-
2018,광진구,-,-,14,-,-
2018,동대문구,-,1,14,1,-
2018,중랑구,-,-,9,1,-
2018,성북구,-,-,16,1,-
2018,강북구,-,1,9,1,-
2018,도봉구,1,1,12,1,-
2018,노원구,-,-,24,-,-
2018,은평구,-,-,13,1,-
2018,서대문구,-,1,16,1,-
2018,마포구,-,-,19,1,-
2018,양천구,-,1,13,1,-
2018,강서구,-,-,17,1,-
2018,구로구,-,-,16,-,-
2018,금천구,-,-,8,1,-
2018,영등포구,-,1,23,3,-
2018,동작구,-,1,13,-,-
2018,관악구,-,-,16,1,-
2018,서초구,1,-,25,1,-
2018,강남구,-,1,37,4,-
2018,송파구,-,1,26,2,1
2018,강동구,-,-,12,1,-
