기간,구분,가로등
2017,종로구,"8,986"
2017,중구,"8,641"
2017,용산구,"7,291"
2017,성동구,"5,662"
2017,광진구,"4,852"
2017,동대문구,"8,096"
2017,중랑구,"5,698"
2017,성북구,"5,373"
2017,강북구,"4,445"
2017,도봉구,"4,464"
2017,노원구,"9,308"
2017,은평구,"6,554"
2017,서대문구,"5,848"
2017,마포구,"7,941"
2017,양천구,"7,198"
2017,강서구,"6,691"
2017,구로구,"7,413"
2017,금천구,"5,369"
2017,영등포구,"9,209"
2017,동작구,"5,483"
2017,관악구,"4,895"
2017,서초구,"11,699"
2017,강남구,"14,193"
2017,송파구,"12,586"
2017,강동구,"7,891"
2018,종로구,"9,220"
2018,중구,"8,694"
2018,용산구,"7,248"
2018,성동구,"5,780"
2018,광진구,"4,774"
2018,동대문구,"8,149"
2018,중랑구,"5,729"
2018,성북구,"5,301"
2018,강북구,"4,525"
2018,도봉구,"4,471"
2018,노원구,"9,270"
2018,은평구,"6,428"
2018,서대문구,"6,075"
2018,마포구,"8,177"
2018,양천구,"7,833"
2018,강서구,"6,682"
2018,구로구,"7,490"
2018,금천구,"5,294"
2018,영등포구,"9,500"
2018,동작구,"5,568"
2018,관악구,"4,894"
2018,서초구,"12,691"
2018,강남구,"14,193"
2018,송파구,"13,263"
2018,강동구,"7,982"
2019,종로구,"9,265"
2019,중구,"8,665"
2019,용산구,"7,637"
2019,성동구,"6,050"
2019,광진구,"4,616"
2019,동대문구,"8,211"
2019,중랑구,"5,731"
2019,성북구,"5,584"
2019,강북구,"4,339"
2019,도봉구,"4,556"
2019,노원구,"9,510"
2019,은평구,"6,369"
2019,서대문구,"6,075"
2019,마포구,"8,313"
2019,양천구,"7,970"
2019,강서구,"8,919"
2019,구로구,"7,529"
2019,금천구,"5,496"
2019,영등포구,"9,278"
2019,동작구,"5,656"
2019,관악구,"5,304"
2019,서초구,"12,793"
2019,강남구,"13,788"
2019,송파구,"13,520"
2019,강동구,"7,477"
