데이터,구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
초등학교,강남구,0.0,0.0
초등학교,강동구,0.0,0.0
초등학교,강북구,0.0,0.0
초등학교,강서구,0.0,0.0
초등학교,관악구,0.0,0.0
초등학교,광진구,0.0,0.0
초등학교,구로구,0.0,7.69
초등학교,금천구,0.0,0.0
초등학교,노원구,0.0,0.0
초등학교,도봉구,0.0,0.0
초등학교,동대문구,0.0,0.0
초등학교,동작구,0.0,0.0
초등학교,마포구,0.0,0.0
초등학교,서대문구,0.0,0.0
초등학교,서초구,0.0,0.0
초등학교,성동구,0.0,0.0
초등학교,성북구,0.0,0.0
초등학교,송파구,0.0,2.5
초등학교,양천구,0.0,0.0
초등학교,영등포구,0.0,0.0
초등학교,용산구,0.0,0.0
초등학교,은평구,3.23,0.0
초등학교,종로구,0.0,0.0
초등학교,중구,0.0,0.0
초등학교,중랑구,0.0,0.0
중학교,강남구,0.0,0.0
중학교,강동구,0.0,0.0
중학교,강북구,0.0,0.0
중학교,강서구,0.0,0.0
중학교,관악구,0.0,0.0
중학교,광진구,0.0,0.0
중학교,구로구,0.0,0.0
중학교,금천구,0.0,0.0
중학교,노원구,0.0,0.0
중학교,도봉구,0.0,0.0
중학교,동대문구,0.0,0.0
중학교,동작구,0.0,0.0
중학교,마포구,0.0,0.0
중학교,서대문구,0.0,0.0
중학교,서초구,6.25,0.0
중학교,성동구,0.0,0.0
중학교,성북구,0.0,0.0
중학교,송파구,0.0,3.57
중학교,양천구,0.0,0.0
중학교,영등포구,0.0,0.0
중학교,용산구,0.0,0.0
중학교,은평구,0.0,0.0
중학교,종로구,0.0,0.0
중학교,중구,0.0,0.0
중학교,중랑구,0.0,0.0
고등학교,강남구,0.0,0.0
고등학교,강동구,0.0,0.0
고등학교,강북구,0.0,0.0
고등학교,강서구,0.0,0.0
고등학교,관악구,0.0,0.0
고등학교,광진구,0.0,0.0
고등학교,구로구,0.0,0.0
고등학교,금천구,0.0,0.0
고등학교,노원구,0.0,0.0
고등학교,도봉구,0.0,0.0
고등학교,동대문구,0.0,0.0
고등학교,동작구,0.0,0.0
고등학교,마포구,0.0,0.0
고등학교,서대문구,0.0,0.0
고등학교,서초구,0.0,0.0
고등학교,성동구,0.0,0.0
고등학교,성북구,0.0,0.0
고등학교,송파구,0.0,0.0
고등학교,양천구,0.0,0.0
고등학교,영등포구,0.0,0.0
고등학교,용산구,0.0,0.0
고등학교,은평구,0.0,0.0
고등학교,종로구,0.0,0.0
고등학교,중구,0.0,0.0
고등학교,중랑구,0.0,0.0
